Group ID|Artifact ID|Version ID|CQ #
org.springframework|spring-web|3.2.4.RELEASE|7552
org.springframework|spring-webmvc|3.2.4.RELEASE|7553
org.springframework|spring-test|3.2.4.RELEASE|7554
junit|junit|4.11-eclipse01|7555
org.hamcrest|hamcrest-core|1.3-eclipse01|7556
org.hamcrest|hamcrest-library|1.3-eclipse01|7557
org.apache.camel|camel-core|2.12.1|7672
org.apache.camel|camel-spring|2.12.1|7673
org.apache.camel|camel-jms|2.12.1|7674
org.apache.camel|camel-quartz|2.12.1|7675
org.apache.camel|camel-script|2.12.1|7676
org.apache.camel|camel-mail|2.12.1|7677
org.apache.camel|camel-http|2.12.1|7678
org.apache.camel|camel-sql|2.12.1|7679
org.apache.bsf|bsf-all|3.1|7924
com.sun.xml.bind|jaxb-impl|2.2.6|7972
commons-collections|commons-collections|3.2.1|7973
commons-lang|commons-lang|2.4-eclipse01|7974
org.apache.santuario|xmlsec|1.5.6|7975
org.apache.ws.security|wss4j|1.6.14|7977
org.apache.ws.xmlschema|xmlschema-core|2.1.0|7978
org.codehaus.woodstox|stax2-api|3.1.1|7979
org.codehaus.woodstox|woodstox-core-asl|4.2.0|7980
wsdl4j|wsdl4j|1.6.3|7981
javax.ws.rs|javax.ws.rs-api|2.0-m10|7982
org.apache.cxf|cxf-api|2.7.10-eclipse01|7983
org.apache.cxf|cxf-rt-bindings-soap|2.7.10-eclipse01|7984
org.apache.cxf|cxf-rt-bindings-xml|2.7.10|7985
org.apache.cxf|cxf-rt-core|2.7.10|7986
org.apache.cxf|cxf-rt-databinding-jaxb|2.7.10|7987
org.apache.cxf|cxf-rt-frontend-jaxrs|2.7.10|7988
org.apache.cxf|cxf-rt-frontend-jaxws|2.7.10|7989
org.apache.cxf|cxf-rt-frontend-simple|2.7.10|7990
org.apache.cxf|cxf-rt-transports-http|2.7.10|7991
org.apache.cxf|cxf-rt-ws-addr|2.7.10|7992
org.apache.cxf|cxf-rt-ws-policy|2.7.10|7993
org.apache.cxf|cxf-rt-ws-security|2.7.10|7994
org.apache.cxf|cxf-tools-common|2.7.10|7995
org.apache.cxf|cxf-tools-validator|2.7.10|7996
org.apache.cxf|cxf-tools-wsdlto-core|2.7.10|7997
org.apache.cxf|cxf-tools-wsdlto-databinding-jaxb|2.7.10|7998
org.apache.cxf|cxf-tools-wsdlto-frontend-jaxws|2.7.10|7999
org.apache.camel|camel-test|2.12.1|8137
org.apache.derby|derby|10.9.1.0|8143
org.apache.derby|derbyclient|10.9.1.0|8143
org.apache.derby|derbynet|10.9.1.0|8143
com.ibm.icu|icu4j|50.1.1|8260
org.apache.camel|camel-core|2.13.1|8513
org.apache.camel|camel-spring|2.13.1|8514
org.apache.camel|camel-jms|2.13.1|8515
org.apache.camel|camel-quartz|2.13.1|8516
org.apache.camel|camel-script|2.13.1|8517
org.apache.camel|camel-mail|2.13.1|8518
org.apache.camel|camel-http|2.13.1|8519
org.apache.camel|camel-sql|2.13.1|8520
org.apache.camel|camel-test|2.13.1|8521
org.apache.camel|camel-velocity|2.13.1|8551
org.apache.velocity|velocity-tools|2.0|8552
org.apache.camel|camel-smpp|2.13.1|8553
com.lowagie|itext|2.1.7|8896
org.apache.poi|poi-ooxml-schemas|1.1|8897
fr.opensagres.xdocreport|org.apache.poi.xwpf.converter.core|1.0.4|8900
fr.opensagres.xdocreport|org.apache.poi.xwpf.converter.pdf|1.0.4|8901
fr.opensagres.xdocreport|fr.opensagres.xdocreport.converter|1.0.4|8902
fr.opensagres.xdocreport|fr.opensagres.xdocreport.core|1.0.4|8903
fr.opensagres.xdocreport|fr.opensagres.xdocreport.document|1.0.4-eclipse01|8904
fr.opensagres.xdocreport|fr.opensagres.xdocreport.document.docx|1.0.4|8905
fr.opensagres.xdocreport|fr.opensagres.xdocreport.template|1.0.4|8906
fr.opensagres.xdocreport|fr.opensagres.xdocreport.template.velocity|1.0.4|8907
fr.opensagres.xdocreport|fr.opensagres.xdocreport.itext.extension|1.0.4|8908
org.apache.camel|camel-core|2.14.0|8909
org.apache.camel|camel-spring|2.14.0|8910
org.apache.camel|camel-jms|2.14.0|8911
org.apache.camel|camel-quartz|2.14.0|8912
org.apache.camel|camel-script|2.14.0|8913
org.apache.camel|camel-mail|2.14.0|8914
org.apache.camel|camel-http|2.14.0|8915
org.apache.camel|camel-sql|2.14.0|8916
org.apache.camel|camel-test|2.14.0|8917
org.apache.camel|camel-velocity|2.14.0|8919
org.icepdf|icepdf-core|5.1.1-eclipse01|9240
javax.servlet|servlet-api|2.5|9610
org.mozilla|rhino|1.7R5-eclipse01|9740
org.mozilla|rhino|1.7.6|9741
com.sun.xml.bind|jaxb-xjc|2.2.6|9839
org.apache.neethi|neethi|3.0.3|9846
org.apache.chemistry.opencmis|chemistry-opencmis-client-api|0.13.0|9915
org.apache.chemistry.opencmis|chemistry-opencmis-client-bindings|0.13.0|9916
org.apache.chemistry.opencmis|chemistry-opencmis-client-impl|0.13.0|9917
org.apache.chemistry.opencmis|chemistry-opencmis-commons-api|0.13.0|9918
org.apache.chemistry.opencmis|chemistry-opencmis-commons-impl|0.13.0|9919
